epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,lr
127,4.886313,1.01244952e+00,7.32127422e-01,1.01073066e+00,1.01239694e+00,1.73135339e+04,3.02601250e+02,1.58710197e+04,2.83620057e+02,5.00000000e-04
128,4.844625,1.01285591e+00,7.32430258e-01,1.01072234e+00,1.01238968e+00,1.72476039e+04,2.99766270e+02,1.58722081e+04,2.83248618e+02,5.00000000e-04
129,5.152286,1.01290488e+00,7.32466029e-01,1.01075013e+00,1.01242021e+00,1.72598926e+04,2.99313246e+02,1.58736300e+04,2.82892271e+02,5.00000000e-04
130,5.137947,1.01298871e+00,7.32533907e-01,1.01101394e+00,1.01270220e+00,1.73143804e+04,2.99957011e+02,1.58823248e+04,2.82672471e+02,5.00000000e-04
131,5.065482,1.01291976e+00,7.32481772e-01,1.01086417e+00,1.01253849e+00,1.71568129e+04,2.96551962e+02,1.58756346e+04,2.82173045e+02,5.00000000e-04
132,5.066000,1.01281612e+00,7.32403718e-01,1.01112564e+00,1.01281806e+00,1.71304989e+04,2.96226524e+02,1.58894022e+04,2.81996110e+02,5.00000000e-04
133,4.992046,1.01286369e+00,7.32439075e-01,1.01080125e+00,1.01247398e+00,1.72117095e+04,2.97176417e+02,1.58765366e+04,2.81580950e+02,5.00000000e-04
134,5.101610,1.01268157e+00,7.32298461e-01,1.01069104e+00,1.01236160e+00,1.72214183e+04,2.96502820e+02,1.58730540e+04,2.81387419e+02,5.00000000e-04
135,5.183538,1.01268347e+00,7.32300982e-01,1.01078704e+00,1.01245332e+00,1.71780302e+04,2.95687091e+02,1.58751606e+04,2.81014940e+02,5.00000000e-04
136,5.166983,1.01274126e+00,7.32345912e-01,1.01076479e+00,1.01243130e+00,1.72113958e+04,2.95935424e+02,1.58745077e+04,2.80637248e+02,5.00000000e-04
137,5.058708,1.01350481e+00,7.32949779e-01,1.01227741e+00,1.01411966e+00,1.71711699e+04,2.95746570e+02,1.59356115e+04,2.82063029e+02,5.00000000e-04
138,5.091278,1.01333844e+00,7.32812554e-01,1.01045391e+00,1.01207133e+00,1.72497789e+04,2.96713036e+02,1.58628315e+04,2.79621560e+02,5.00000000e-04
139,5.126568,1.01220483e+00,7.31905836e-01,1.01038529e+00,1.01200220e+00,1.71931200e+04,2.94828988e+02,1.58597892e+04,2.79288042e+02,5.00000000e-04
140,5.053610,1.01216356e+00,7.31875561e-01,1.01028533e+00,1.01189753e+00,1.71818663e+04,2.94556541e+02,1.58579400e+04,2.79126408e+02,5.00000000e-04
141,5.128324,1.01208191e+00,7.31813825e-01,1.00969724e+00,1.01124962e+00,1.72956060e+04,2.95882576e+02,1.58359597e+04,2.78905895e+02,5.00000000e-04
142,5.055311,1.01009722e+00,7.30250018e-01,1.00861979e+00,1.01010115e+00,1.71524240e+04,2.95067465e+02,1.57884683e+04,2.78586017e+02,5.00000000e-04
143,5.128895,1.01045749e+00,7.30546861e-01,1.00841658e+00,1.00987247e+00,1.72065008e+04,2.94331352e+02,1.57788576e+04,2.78678074e+02,5.00000000e-04
144,5.079598,1.00998954e+00,7.30175647e-01,1.00759070e+00,1.00890297e+00,1.70428759e+04,2.93175532e+02,1.58047141e+04,2.77562598e+02,5.00000000e-04
145,5.102603,1.00815036e+00,7.28694932e-01,1.00655373e+00,1.00773942e+00,1.71706842e+04,2.93264420e+02,1.57776836e+04,2.76932674e+02,5.00000000e-04
146,5.164311,9.95165232e-01,7.18711800e-01,9.86467174e-01,9.86558189e-01,1.65905273e+04,2.87982996e+02,1.48918966e+04,2.68469768e+02,5.00000000e-04
147,5.117872,9.86198622e-01,7.11934957e-01,9.86188902e-01,9.86278934e-01,1.60902627e+04,2.82315361e+02,1.48821194e+04,2.68282813e+02,5.00000000e-04
148,5.132936,9.86096625e-01,7.11860306e-01,9.86095761e-01,9.86186616e-01,1.63970961e+04,2.88651597e+02,1.48789316e+04,2.68165496e+02,5.00000000e-04
149,5.131117,9.86111985e-01,7.11870590e-01,9.86131595e-01,9.86221385e-01,1.61074869e+04,2.82702583e+02,1.48804750e+04,2.67920369e+02,5.00000000e-04
150,5.064574,9.86079854e-01,7.11846879e-01,9.86004694e-01,9.86091983e-01,1.61267837e+04,2.82578539e+02,1.48783845e+04,2.67483284e+02,5.00000000e-04
151,5.019545,9.86023368e-01,7.11805007e-01,9.86077687e-01,9.86163297e-01,1.60255003e+04,2.81091851e+02,1.48791189e+04,2.67295099e+02,5.00000000e-04
152,5.368431,9.86025183e-01,7.11807001e-01,9.85816678e-01,9.85897994e-01,1.61582099e+04,2.82391717e+02,1.48675091e+04,2.67089156e+02,5.00000000e-04
153,5.200526,9.85891096e-01,7.11708771e-01,9.85758885e-01,9.85843797e-01,1.60140931e+04,2.80123728e+02,1.48689780e+04,2.66923777e+02,5.00000000e-04
